State,pop_dens,unemploy_rate,avg_rent,apart_size,log_income,avg_wage_hr,log_med_home_price,avg_live_conver,avg_live_groc,avg_live_hous,avg_live_uti,log_avg_live_trans,avg_live_health,tax,highschool,bachelor,min_wage,avg_holdsize,crime,drug_use,white,black,indian,asian,other,log_transi_expen,urban_pop,immigrant_mil,homeless,poverty
Alabama,95,3.0,1069.0,734.0,4.760,27.65,5.45,88.8,96,70,104,1.9638,87,0.095,88.6,28.4,7.25,2.48,20635,4299.39,0.6536,0.2609,0.0044,0.0142,0.0669,8.00,0.577,825.961,9.0,11.3
Alaska,1,4.6,1337.0,611.0,4.873,35.92,5.60,124.4,127,118,148,2.0860,150,0.018,93.6,31.7,10.34,2.61,5327,4541.11,0.6070,0.0310,0.1379,0.0642,0.1599,8.06,0.649,1570.922,37.0,6.5
Arizona,60,4.8,1323.0,682.0,4.830,32.51,5.67,107.2,102,125,94,1.9965,94,0.085,89.4,33.3,12.15,2.53,30383,4500.25,0.6320,0.0464,0.0408,0.0344,0.2464,9.00,0.893,2701.181,20.0,8.7
Arkansas,57,4.2,968.0,667.0,4.739,26.39,5.41,90.3,95,76,92,1.9647,87,0.095,88.7,25.7,11.00,2.46,19016,3620.57,0.7086,0.1491,0.0056,0.0156,0.1212,7.80,0.555,1026.238,9.0,11.5
California,251,5.3,2260.0,651.0,4.907,38.79,5.94,134.5,112,187,125,2.0938,106,0.090,84.7,37.1,13.00,2.84,198036,3147.43,0.4395,0.0554,0.0113,0.1528,0.3409,10.05,0.942,5230.761,48.0,8.5
Colorado,52,3.9,1574.0,702.0,4.888,37.11,5.81,105.5,101,116,91,2.0310,102,0.079,92.9,45.7,12.32,2.42,27859,4304.12,0.7346,0.0401,0.0101,0.0323,0.1829,8.69,0.860,2430.465,32.0,5.9
Connecticut,741,5.1,1923.0,727.0,4.889,37.22,5.67,113.1,100,123,122,2.0111,110,0.064,91.5,42.5,12.00,2.46,5434,4189.26,0.6757,0.1069,0.0027,0.0475,0.1672,8.79,0.863,3473.214,9.0,6.9
Delaware,485,5.1,1541.0,743.0,4.844,33.60,5.60,102.6,103,100,98,2.0394,104,0.000,91.7,35.8,9.25,2.48,3923,4627.13,0.6182,0.2194,0.0037,0.0409,0.1178,8.14,0.826,2312.762,13.0,7.2
District of Columbia,11011,6.1,2280.0,688.0,5.045,53.37,5.96,148.7,107,242,110,2.0330,105,0.060,92.7,64.2,15.00,1.99,7814,5825.71,0.3907,0.4326,0.0030,0.0409,0.1328,9.20,1.000,3662.028,83.0,11.9
Florida,378,4.8,1692.0,731.0,4.811,31.09,5.64,102.3,100,111,97,1.9991,96,0.070,89.9,34.1,8.65,2.51,65621,4005.05,0.5991,0.1534,0.0030,0.0286,0.2159,9.30,0.915,6788.95,14.0,8.9
